image,caption
page_10_fig1.png,ERROR
page_10_fig2.png,ERROR
page_10_fig3.png,ERROR
page_11_fig1.png,ERROR
page_11_fig2.png,ERROR
page_12_fig1.png,ERROR
page_12_fig2.png,ERROR
page_12_fig3.png,ERROR
page_12_fig4.png,ERROR
page_13_fig1.png,ERROR
page_13_fig2.png,ERROR
page_13_fig3.png,ERROR
page_13_fig4.png,ERROR
page_14_fig1.png,ERROR
page_14_fig2.png,ERROR
page_14_fig3.png,ERROR
page_14_fig4.png,ERROR
page_14_fig5.png,ERROR
page_14_fig6.png,ERROR
page_14_fig7.png,ERROR
page_14_fig8.png,ERROR
page_15_fig1.png,ERROR
page_1_fig1.png,ERROR
page_2_fig1.png,ERROR
page_2_fig2.png,ERROR
page_2_fig3.png,ERROR
page_2_fig4.png,ERROR
page_3_fig1.png,ERROR
page_3_fig2.png,ERROR
page_3_fig3.png,ERROR
page_4_fig1.png,ERROR
page_4_fig2.png,ERROR
page_4_fig3.png,ERROR
page_5_fig1.png,ERROR
page_5_fig2.png,ERROR
page_5_fig3.png,ERROR
page_5_fig4.png,ERROR
page_5_fig5.png,ERROR
page_6_fig1.png,ERROR
page_6_fig2.png,ERROR
page_6_fig3.png,ERROR
page_7_fig1.png,ERROR
page_7_fig2.png,ERROR
page_7_fig3.png,ERROR
page_8_fig1.png,ERROR
page_8_fig2.png,ERROR
page_8_fig3.png,ERROR
page_8_fig4.png,ERROR
page_8_fig5.png,ERROR
page_8_fig6.png,ERROR
page_9_fig1.png,ERROR
page_9_fig2.png,ERROR
page_9_fig3.png,ERROR
